EmployeeID,Age,Gender,Department,EducationField,Education,JobRole,MonthlyIncome,YearsAtCompany,TotalWorkingYears,DistanceFromHome,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,OverTime,Attrition,Gender_enc,OverTime_enc,Attrition_enc,Dept_Human Resources,Dept_Research & Development,Dept_Sales,Role_Human Resources,Role_Laboratory Technician,Role_Manager,Role_Manufacturing Director,Role_Research Scientist,Role_Sales Executive,Role_Sales Representative,Age_norm,MonthlyIncome_norm,YearsAtCompany_norm,TotalWorkingYears_norm,DistanceFromHome_norm,NumCompaniesWorked_norm
1,41.0,Male,Sales,Medical,2,Sales Executive,2933.07,0,8.0,1.0,2,4.0,3,2,Yes,Yes,0,1,1,0,0,1,0,0,0,0,0,1,0,0.5476190476190477,0.11421222513617109,0.0,0.2,0.0,0.2857142857142857
2,32.0,Male,Research & Development,Marketing,1,Manager,4779.65,2,4.0,2.0,4,1.0,3,2,No,No,0,0,0,0,1,0,0,0,1,0,0,0,0,0.3333333333333333,0.3211675968887992,0.05405405405405406,0.1,0.03571428571428571,0.2857142857142857
3,36.0,Female,Sales,Technical Degree,2,Sales Executive,4441.06,4,4.0,1.0,2,2.0,3,3,Yes,Yes,1,1,1,0,0,1,0,0,0,0,0,1,0,0.42857142857142855,0.28322013762804565,0.10810810810810811,0.1,0.0,0.42857142857142855
4,38.0,Female,Sales,Human Resources,1,Sales Executive,2794.07,2,3.0,14.0,3,3.0,3,1,No,No,1,0,0,0,0,1,0,0,0,0,0,1,0,0.47619047619047616,0.09863380628964653,0.05405405405405406,0.075,0.4642857142857143,0.14285714285714285
5,42.0,Female,Sales,Life Sciences,3,Manager,5554.05,15,19.0,7.0,3,3.0,3,3,No,No,1,0,0,0,0,1,0,0,1,0,0,0,0,0.5714285714285714,0.4079584426064152,0.40540540540540543,0.475,0.21428571428571427,0.42857142857142855
6,42.0,Female,Sales,Life Sciences,2,Manager,4779.65,0,4.0,2.0,3,3.0,4,1,No,No,1,0,0,0,0,1,0,0,1,0,0,0,0,0.5714285714285714,0.3211675968887992,0.0,0.1,0.03571428571428571,0.14285714285714285
7,32.0,Female,Research & Development,Technical Degree,1,Research Scientist,3517.75,5,9.0,22.0,4,4.0,3,3,No,No,1,0,0,0,1,0,0,0,0,0,1,0,0,0.3333333333333333,0.17974021025261694,0.13513513513513514,0.225,0.75,0.42857142857142855
8,43.0,Male,Sales,Life Sciences,1,Sales Representative,2915.14,4,6.0,1.0,3,3.0,3,2,No,No,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5952380952380952,0.11220272117992512,0.10810810810810811,0.15,0.0,0.2857142857142857
9,19.0,Male,Sales,Life Sciences,2,Sales Representative,3939.6,22,24.0,2.0,4,1.0,3,0,No,No,0,0,0,0,0,1,0,0,0,0,0,0,1,0.023809523809523808,0.227019030327483,0.5945945945945946,0.6,0.03571428571428571,0.0
10,50.0,Female,Research & Development,Marketing,3,Manufacturing Director,8325.88,24,26.0,5.0,4,1.0,4,3,No,No,1,0,0,0,1,0,0,0,0,1,0,0,0,0.7619047619047619,0.7186111671485889,0.6486486486486487,0.65,0.14285714285714285,0.42857142857142855
11,42.0,Male,Research & Development,Life Sciences,1,Manufacturing Director,5081.89,4,11.0,4.0,2,3.0,3,3,Yes,Yes,0,1,1,0,1,0,0,0,0,1,0,0,0,0.5714285714285714,0.35504113150875305,0.10810810810810811,0.275,0.10714285714285714,0.42857142857142855
12,40.0,Female,Human Resources,Human Resources,2,Manager,6153.77,7,14.0,2.0,4,2.0,4,7,No,No,1,0,0,1,0,0,0,0,1,0,0,0,0,0.5238095238095238,0.4751720350570462,0.1891891891891892,0.35,0.03571428571428571,1.0
13,46.0,Male,Sales,Life Sciences,4,Sales Representative,5068.74,4,4.0,1.0,4,4.0,3,3,No,No,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6666666666666666,0.35356734584089833,0.10810810810810811,0.1,0.0,0.42857142857142855
14,23.0,Female,Research & Development,Medical,4,Manager,5595.26,11,12.0,8.0,4,4.0,3,3,Yes,No,1,1,0,0,1,0,0,0,1,0,0,0,0,0.11904761904761904,0.41257705153206464,0.2972972972972973,0.3,0.25,0.42857142857142855
15,35.0,Female,Research & Development,Marketing,3,Research Scientist,2816.61,0,1.0,4.0,3,4.0,3,1,No,No,1,0,0,0,1,0,0,0,0,0,1,0,0,0.40476190476190477,0.10115997579180958,0.0,0.025,0.10714285714285714,0.14285714285714285
16,49.0,Female,Sales,Life Sciences,3,Sales Representative,3397.51,2,4.0,6.0,3,1.0,3,2,Yes,Yes,1,1,1,0,0,1,0,0,0,0,0,0,1,0.7380952380952381,0.16626431757559457,0.05405405405405406,0.1,0.17857142857142858,0.2857142857142857
17,34.0,Male,Sales,Medical,3,Sales Representative,5435.39,6,7.0,4.0,2,2.0,3,4,No,No,0,0,0,0,0,1,0,0,0,0,0,0,1,0.38095238095238093,0.39465962835944685,0.16216216216216217,0.175,0.10714285714285714,0.5714285714285714
18,32.0,Male,Human Resources,Human Resources,2,Human Resources,4779.65,0,0.0,9.0,4,3.0,3,2,No,No,0,0,0,1,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.3211675968887992,0.0,0.0,0.2857142857142857,0.2857142857142857
19,41.0,Male,Sales,Medical,3,Sales Representative,3510.17,3,7.0,19.0,1,1.0,3,1,No,No,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5476190476190477,0.17889068208818057,0.08108108108108109,0.175,0.6428571428571429,0.14285714285714285
20,54.0,Male,Sales,Human Resources,2,Sales Representative,2730.4,0,1.0,1.0,2,4.0,3,2,No,No,0,0,0,0,0,1,0,0,0,0,0,0,1,0.8571428571428571,0.09149799385829244,0.0,0.025,0.0,0.2857142857142857
21,50.0,Male,Research & Development,Medical,4,Laboratory Technician,4714.4,4,11.0,7.0,3,2.0,3,2,No,No,0,0,0,0,1,0,0,1,0,0,0,0,0,0.7619047619047619,0.3138547060273911,0.10810810810810811,0.275,0.21428571428571427,0.2857142857142857
22,42.0,Female,Research & Development,Marketing,2,Research Scientist,4779.65,14,14.0,25.0,3,2.0,3,0,Yes,No,1,1,0,0,1,0,0,0,0,0,1,0,0,0.5714285714285714,0.3211675968887992,0.3783783783783784,0.35,0.8571428571428571,0.0
23,31.0,Male,Sales,Human Resources,3,Sales Executive,6999.6,16,16.0,3.0,3,1.0,3,4,Yes,No,0,1,0,0,0,1,0,0,0,0,0,1,0,0.30952380952380953,0.5699683948624841,0.43243243243243246,0.4,0.07142857142857142,0.5714285714285714
24,23.0,Male,Research & Development,Human Resources,2,Manager,6191.3,4,6.0,3.0,4,4.0,4,2,No,No,0,0,0,0,1,0,0,0,1,0,0,0,0,0.11904761904761904,0.4793782081456078,0.10810810810810811,0.15,0.07142857142857142,0.2857142857142857
25,37.0,Female,Human Resources,Human Resources,3,Human Resources,5902.75,5,8.0,1.0,1,2.0,4,3,No,No,1,0,0,1,0,0,1,0,0,0,0,0,0,0.4523809523809524,0.447038979669603,0.13513513513513514,0.2,0.0,0.42857142857142855
26,40.0,Female,Research & Development,Human Resources,2,Laboratory Technician,4536.72,3,11.0,2.0,2,3.0,3,1,No,No,1,0,0,0,1,0,0,1,0,0,0,0,0,0.5238095238095238,0.293941227893215,0.08108108108108109,0.275,0.03571428571428571,0.14285714285714285
27,30.0,Female,Sales,Other,2,Manager,5367.24,1,2.0,9.0,2,2.0,3,2,No,No,1,0,0,0,0,1,0,0,1,0,0,0,0,0.2857142857142857,0.3870217201264205,0.02702702702702703,0.05,0.2857142857142857,0.2857142857142857
28,36.0,Male,Sales,Life Sciences,3,Sales Executive,4384.47,9,24.0,4.0,1,3.0,4,2,Yes,No,0,1,0,0,0,1,0,0,0,0,0,1,0,0.42857142857142855,0.27687781588326277,0.24324324324324326,0.6,0.10714285714285714,0.2857142857142857
29,50.0,Male,Sales,Human Resources,3,Manager,5860.6,2,7.0,9.0,2,4.0,3,2,No,No,0,0,0,0,0,1,0,0,1,0,0,0,0,0.7619047619047619,0.442315020285567,0.05405405405405406,0.175,0.2857142857142857,0.2857142857142857
30,27.0,Female,Sales,Other,3,Sales Executive,7156.75,10,14.0,2.0,2,2.0,4,5,No,Yes,1,0,1,0,0,1,0,0,0,0,0,1,0,0.21428571428571427,0.5875809741555151,0.2702702702702703,0.35,0.03571428571428571,0.7142857142857143
31,36.0,Female,Sales,Marketing,4,Sales Executive,5422.65,2,16.0,7.0,4,3.0,4,4,No,No,1,0,0,0,0,1,0,0,0,0,0,1,0,0.42857142857142855,0.39323179342344156,0.05405405405405406,0.4,0.21428571428571427,0.5714285714285714
32,39.0,Male,Research & Development,Life Sciences,1,Research Scientist,4111.46,5,6.0,8.0,2,2.0,3,1,No,No,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5,0.24628023221930825,0.13513513513513514,0.15,0.25,0.14285714285714285
33,31.0,Male,Research & Development,Human Resources,5,Research Scientist,6388.8,7,7.0,7.0,2,2.0,3,1,No,No,0,0,0,0,1,0,0,0,0,0,1,0,0,0.30952380952380953,0.5015130119023603,0.1891891891891892,0.175,0.21428571428571427,0.14285714285714285
34,35.0,Female,Research & Development,Other,3,Manager,5350.61,0,10.0,23.0,2,2.0,3,2,No,No,1,0,0,0,1,0,0,0,1,0,0,0,0,0.40476190476190477,0.3851579136126241,0.0,0.25,0.7857142857142857,0.2857142857142857
35,18.0,Male,Sales,Marketing,5,Manager,5827.43,6,6.0,1.0,2,3.0,3,4,Yes,Yes,0,1,1,0,0,1,0,0,1,0,0,0,0,0.0,0.4385974940039899,0.16216216216216217,0.15,0.0,0.5714285714285714
36,31.0,Male,Sales,Other,3,Sales Executive,2091.29,0,6.0,9.0,2,3.0,4,1,Yes,Yes,0,1,1,0,0,1,0,0,0,0,0,1,0,0.30952380952380953,0.01986976890144128,0.0,0.15,0.2857142857142857,0.14285714285714285
37,38.0,Male,Research & Development,Other,3,Research Scientist,5413.8,8,11.0,2.0,3,4.0,3,1,No,Yes,0,0,1,0,1,0,0,0,0,0,1,0,0,0.47619047619047616,0.3922399300652276,0.21621621621621623,0.275,0.03571428571428571,0.14285714285714285
