EmployeeID,Age,Gender,Department,EducationField,Education,JobRole,MonthlyIncome,YearsAtCompany,TotalWorkingYears,DistanceFromHome,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,OverTime,Attrition
1,41.0,Male,Sales,Medical,2,Sales Executive,2933.07,0,8.0,1.0,2,4.0,3,2,Yes,Yes
2,32.0,male,Research & Development,Marketing,1,Manager,25682.006852363458,2,4.0,2.0,4,1.0,3,2,No,No
3,,Female,Sales,Technical Degree,2,Sales Executive,4441.06,4,4.0,1.0,2,2.0,3,3,Yes,Yes
4,38.0,Female,Sales,Human Resources,1,Sales Executive,2794.07,2,3.0,14.0,3,,3,1,No,No
5,42.0,Female,Sales,Life Sciences,3,Manager,5554.05,15,19.0,7.0,3,3.0,3,3,No,No
6,42.0,Female,Sales,Life Sciences,2,Manager,,0,4.0,2.0,3,3.0,4,1,No,No
7,32.0,Female,Research & Development,Technical Degree,1,Research Scientist,3517.75,5,9.0,22.0,4,4.0,3,3,No,No
8,43.0,Male,Sales,Life Sciences,1,Sales Representative,2915.14,4,6.0,1.0,3,,3,2,No,No
9,19.0,Male,Sales,Life Sciences,2,Sales Representative,3939.6,22,24.0,2.0,4,1.0,3,0,No,No
10,50.0,Female,Research & Development,Marketing,3,Manufacturing Director,8325.88,24,26.0,5.0,4,1.0,4,3,No,No
11,42.0,Male,Research & Development,Life Sciences,1,Manufacturing Director,5081.89,4,11.0,4.0,2,3.0,3,3,Yes,Yes
12,40.0,Female,Human Resources,Human Resources,2,Manager,6153.77,7,14.0,2.0,4,2.0,4,7,No,No
13,46.0,Male,Sales,Life Sciences,4,Sales Representative,5068.74,4,4.0,1.0,4,4.0,3,3,No,No
14,23.0,Female,Research & Development,Medical,4,Manager,5595.26,11,12.0,8.0,4,4.0,3,3,Yes,No
15,35.0,Female,Research & Development,Marketing,3,Research Scientist,2816.61,0,1.0,,3,4.0,3,1,No,No
16,49.0,Female,Sales,Life Sciences,3,Sales Representative,3397.51,2,4.0,6.0,3,1.0,3,2,Yes,Yes
17,34.0,Male,Sales,Medical,3,Sales Representative,5435.39,6,7.0,4.0,2,2.0,3,4,No,No
18,32.0,Male,Human Resources,Human Resources,2,Human Resources,,0,0.0,9.0,4,3.0,3,2,No,No
19,41.0,male,Sales,Medical,3,Sales Representative,3510.17,3,,19.0,1,1.0,3,1,No,No
20,54.0,Male,Sales,Human Resources,2,Sales Representative,2730.4,0,1.0,1.0,2,4.0,3,2,No,No
21,50.0,Male,Research & Development,Medical,4,Laboratory Technician,4714.4,4,11.0,7.0,3,2.0,3,2,No,No
22,42.0,Female,Research & Development,Marketing,2,Research Scientist,,14,14.0,25.0,3,2.0,3,0,Yes,No
23,31.0,male,Sales,Human Resources,3,Sales Executive,6999.6,16,16.0,3.0,3,1.0,3,4,Yes,No
24,23.0,Male,Research & Development,Human Resources,2,Manager,6191.3,4,6.0,3.0,4,4.0,4,2,No,No
25,37.0,female,Human Resources,Human Resources,3,Human Resources,5902.75,5,8.0,1.0,1,2.0,4,3,No,No
26,40.0,Female,Research & Development,Human Resources,2,Laboratory Technician,4536.72,3,11.0,2.0,2,,3,1,No,No
27,30.0,Female,Sales,Other,2,Manager,5367.24,1,2.0,9.0,2,2.0,3,2,No,No
28,,M,Sales,Life Sciences,3,Sales Executive,4384.47,9,24.0,4.0,1,3.0,4,2,Yes,No
29,50.0,Male,Sales,Human Resources,3,Manager,5860.6,2,7.0,9.0,2,4.0,3,2,No,No
30,27.0,Female,Sales,,3,Sales Executive,7156.75,10,14.0,2.0,2,2.0,4,5,No,Yes
31,36.0,Female,Sales,Marketing,4,Sales Executive,5422.65,2,16.0,7.0,4,3.0,4,4,No,No
32,39.0,M,Research & Development,Life Sciences,1,Research Scientist,4111.46,5,6.0,8.0,2,2.0,3,1,No,No
33,31.0,Male,Research & Development,Human Resources,5,Research Scientist,6388.8,7,7.0,7.0,2,2.0,3,1,No,No
34,35.0,F,Research & Development,Other,3,Manager,5350.61,0,10.0,23.0,2,2.0,3,2,No,No
35,18.0,Male,Sales,Marketing,5,Manager,5827.43,6,6.0,1.0,2,3.0,3,4,Yes,Yes
36,31.0,Male,Sales,Other,3,Sales Executive,2091.29,0,6.0,9.0,2,3.0,4,1,Yes,Yes
37,38.0,Male,Research & Development,Other,3,Research Scientist,5413.8,8,11.0,2.0,3,4.0,3,1,No,Yes
38,42.0,male,Research & Development,Life Sciences,2,Laboratory Technician,5717.23,11,11.0,6.0,1,4.0,3,2,No,No
39,50.0,Male,Research & Development,Marketing,3,Laboratory Technician,3475.69,2,11.0,3.0,2,1.0,4,2,Yes,No
40,25.0,Male,Research & Development,Life Sciences,3,Laboratory Technician,6692.88,24,24.0,,4,2.0,3,4,No,No
41,33.0,Female,Research & Development,Technical Degree,3,Manufacturing Director,8661.23,4,5.0,4.0,4,2.0,3,1,Yes,Yes
42,22.0,Male,Sales,Medical,2,Sales Representative,5274.96,8,11.0,9.0,1,1.0,3,2,No,Yes
43,32.0,Female,Research & Development,Other,1,Research Scientist,5845.3,9,16.0,1.0,2,2.0,4,4,No,No
44,44.0,male,Research & Development,Other,1,Manager,5990.86,2,3.0,6.0,4,3.0,3,1,No,No
45,40.0,Female,Research & Development,Technical Degree,2,Laboratory Technician,3800.17,5,29.0,10.0,4,2.0,3,3,No,No
46,39.0,Male,Sales,Human Resources,1,Sales Executive,6588.22,8,8.0,4.0,2,,3,6,No,No
47,59.0,Male,Human Resources,Technical Degree,3,Manager,4479.68,0,10.0,7.0,3,,3,1,No,No
48,32.0,Female,Research & Development,Marketing,1,Research Scientist,4093.77,2,8.0,1.0,1,3.0,3,0,No,No
49,44.0,Male,Sales,Marketing,2,Sales Representative,,0,0.0,4.0,3,3.0,3,3,Yes,No
50,41.0,F,Sales,Human Resources,2,Sales Representative,3127.01,3,5.0,2.0,1,2.0,3,3,No,No
51,18.0,Male,Research & Development,Other,4,Laboratory Technician,4893.3,0,1.0,11.0,3,4.0,3,0,No,No
52,38.0,Female,Research & Development,Life Sciences,1,Manufacturing Director,5381.19,4,7.0,1.0,3,4.0,4,4,No,No
53,27.0,Male,Human Resources,Medical,3,Manager,3921.48,0,0.0,1.0,1,3.0,3,0,No,No
54,29.0,Female,Research & Development,,4,Manager,3510.27,2,13.0,,2,3.0,3,3,No,Yes
55,24.0,Male,Sales,Marketing,3,Sales Representative,,0,9.0,4.0,1,1.0,3,6,No,No
56,28.0,Female,Sales,Medical,2,Sales Executive,4489.13,4,4.0,3.0,4,3.0,3,2,No,No
57,43.0,Female,Sales,Other,4,Sales Executive,4056.29,3,4.0,1.0,1,2.0,4,2,Yes,No
58,57.0,male,Sales,Marketing,2,Sales Executive,4526.48,0,0.0,1.0,4,3.0,3,1,No,No
59,25.0,Male,Research & Development,Marketing,2,Research Scientist,5530.12,9,13.0,10.0,3,3.0,4,3,No,Yes
60,,Male,Research & Development,Medical,4,Research Scientist,3647.68,0,2.0,10.0,4,4.0,3,3,No,No
61,35.0,Male,Sales,Human Resources,2,Manager,6848.33,8,10.0,,2,2.0,3,3,Yes,Yes
62,35.0,Female,Sales,Human Resources,2,Sales Executive,3042.2,1,3.0,6.0,4,1.0,3,1,Yes,No
63,27.0,Male,Sales,Life Sciences,2,Sales Representative,3357.83,0,0.0,19.0,3,2.0,3,1,Yes,No
64,37.0,Female,Research & Development,Life Sciences,2,Laboratory Technician,5048.89,10,11.0,4.0,1,2.0,3,2,No,No
65,33.0,Female,Research & Development,Other,1,Laboratory Technician,3794.46,13,15.0,29.0,4,2.0,4,2,No,No
66,,Female,Sales,Life Sciences,3,Sales Representative,3595.24,1,2.0,10.0,3,,3,0,No,No
67,37.0,Female,Sales,Marketing,4,Sales Executive,6218.97,6,9.0,3.0,3,1.0,3,6,No,No
68,42.0,Male,Research & Development,Medical,2,Laboratory Technician,2872.86,1,7.0,10.0,4,1.0,3,2,No,No
69,34.0,F,Sales,Medical,3,Sales Executive,,11,12.0,4.0,4,2.0,4,3,Yes,No
70,45.0,Female,Sales,Other,2,Manager,5019.12,0,0.0,11.0,2,2.0,4,4,No,No
71,32.0,F,Sales,Other,3,Manager,3371.28,0,8.0,2.0,1,1.0,4,1,No,No
72,31.0,Male,Research & Development,Life Sciences,1,Laboratory Technician,4270.99,3,16.0,15.0,4,,3,4,Yes,Yes
73,35.0,M,Human Resources,Life Sciences,1,Human Resources,3191.69,1,4.0,7.0,2,2.0,3,1,No,Yes
74,36.0,Male,Research & Development,Other,4,Laboratory Technician,7277.55,14,19.0,24.0,2,4.0,3,2,No,No
75,38.0,Male,Sales,,1,Sales Representative,4944.53,10,11.0,1.0,2,2.0,3,2,Yes,Yes
76,38.0,Female,Research & Development,Life Sciences,3,Research Scientist,5536.18,9,10.0,10.0,4,4.0,3,1,No,No
77,35.0,Female,Research & Development,Technical Degree,1,Research Scientist,,1,9.0,2.0,4,1.0,3,2,No,No
78,36.0,Male,Sales,Technical Degree,3,Sales Executive,2896.44,0,1.0,1.0,4,2.0,4,5,Yes,No
79,36.0,Female,Research & Development,Medical,2,Manager,5284.46,6,25.0,12.0,2,4.0,3,2,Yes,No
80,49.0,Female,Research & Development,Human Resources,2,Laboratory Technician,6491.45,12,14.0,2.0,3,1.0,4,3,Yes,No
81,30.0,Female,Sales,Other,2,Sales Executive,3693.05,4,5.0,1.0,1,1.0,3,3,Yes,No
82,55.0,Female,Research & Development,Other,2,Manager,4533.89,0,3.0,2.0,3,3.0,3,1,No,No
83,29.0,Male,Research & Development,Marketing,4,Laboratory Technician,5933.88,18,22.0,1.0,4,3.0,3,4,No,No
84,42.0,Female,Human Resources,Human Resources,4,Human Resources,5007.71,7,14.0,1.0,4,1.0,3,6,No,No
85,44.0,Male,Research & Development,Medical,4,Research Scientist,4406.47,0,15.0,29.0,2,4.0,3,6,No,No
86,42.0,Male,Research & Development,Life Sciences,4,Manager,4509.42,4,5.0,7.0,2,2.0,3,3,Yes,No
87,45.0,male,Research & Development,Other,2,Research Scientist,6461.94,10,10.0,19.0,3,4.0,3,1,No,No
88,39.0,Male,Research & Development,Human Resources,2,Research Scientist,3425.84,0,10.0,20.0,1,4.0,3,1,No,No
89,29.0,Female,Research & Development,Medical,3,Manufacturing Director,3987.13,3,3.0,2.0,1,3.0,3,2,Yes,No
90,40.0,Female,Research & Development,Technical Degree,3,Manufacturing Director,5490.11,5,11.0,24.0,2,4.0,3,2,No,No
